split,scene,family,action,pc1,pc2,latent_norm
train,double_lift_cloth_1,cloth,double_lift,-4.904791355133057,4.039905548095703,11.515617370605469
train,double_lift_cloth_3,cloth,double_lift,0.7389230132102966,0.5475144386291504,7.872650146484375
train,double_lift_zebra,zebra,double_lift,2.2413313388824463,-0.9528859853744507,6.090442657470703
train,double_stretch_sloth,sloth,double_stretch,3.226381301879883,0.13583874702453613,5.485090732574463
train,rope_double_hand,rope,double_hand,3.7160611152648926,-0.5968477129936218,7.226166248321533
train,single_clift_cloth_1,cloth,single_clift,-4.49904727935791,3.085793972015381,11.07061767578125
train,single_clift_cloth_3,cloth,single_clift,-0.45586344599723816,1.0591672658920288,8.334433555603027
train,single_lift_cloth,cloth,single_lift,1.990837812423706,0.8695186376571655,4.370824813842773
train,single_lift_cloth_1,cloth,single_lift,-1.9489052295684814,-0.3294218182563782,8.87938117980957
train,single_lift_dinosor,dinosor,single_lift,2.6873819828033447,-0.7366474270820618,3.633075475692749
train,single_lift_rope,rope,single_lift,-0.29150521755218506,-1.1179155111312866,8.664344787597656
train,single_lift_sloth,sloth,single_lift,0.8135833144187927,-1.9710949659347534,7.19703483581543
train,single_lift_zebra,zebra,single_lift,1.5065125226974487,-1.1703890562057495,6.599312782287598
train,single_push_rope,rope,single_push,-3.054140329360962,4.165970802307129,10.003528594970703
train,single_push_rope_4,rope,single_push,-9.869271278381348,-5.7589111328125,16.498336791992188
train,weird_package,package,other,3.2479963302612305,0.37823644280433655,4.96718168258667
val,double_lift_sloth,sloth,double_lift,2.15267014503479,-0.78652423620224,5.987245559692383
val,single_lift_cloth_3,cloth,single_lift,0.11820483207702637,-0.15200550854206085,7.3415913581848145
val,single_push_rope_1,rope,single_push,-0.6325759887695312,0.030485522001981735,7.761202335357666
test,double_stretch_zebra,zebra,double_stretch,2.4652085304260254,-0.677596926689148,5.86643123626709
test,single_lift_cloth_4,cloth,single_lift,-1.6618976593017578,0.356155127286911,8.364280700683594
test,single_push_sloth,sloth,single_push,2.412907123565674,-0.41834557056427,5.257884979248047
