split,scene,family,action,pc1,pc2,latent_norm
train,double_lift_cloth_1,cloth,double_lift,-0.6544187068939209,-0.020914236083626747,8.041694641113281
train,double_lift_cloth_3,cloth,double_lift,-0.7282133102416992,0.013385622762143612,8.117439270019531
train,double_lift_zebra,zebra,double_lift,0.6464254260063171,0.028474358841776848,6.800765037536621
train,double_stretch_sloth,sloth,double_stretch,0.19153864681720734,0.024319425225257874,7.234663009643555
train,rope_double_hand,rope,double_hand,-0.321323037147522,0.17134353518486023,7.749201774597168
train,single_clift_cloth_1,cloth,single_clift,-0.6414541006088257,-0.008771507069468498,8.031417846679688
train,single_clift_cloth_3,cloth,single_clift,-0.5519500970840454,0.003322602715343237,7.943027973175049
train,single_lift_cloth,cloth,single_lift,-0.19494451582431793,-0.00290112872608006,7.6017279624938965
train,single_lift_cloth_1,cloth,single_lift,0.14083153009414673,-0.02963440865278244,7.274519443511963
train,single_lift_dinosor,dinosor,single_lift,1.4034216403961182,-0.029665477573871613,6.068948268890381
train,single_lift_rope,rope,single_lift,-0.13653725385665894,-0.061851728707551956,7.534399032592773
train,single_lift_sloth,sloth,single_lift,0.5765590667724609,0.010598443448543549,6.863474369049072
train,single_lift_zebra,zebra,single_lift,0.9113638997077942,0.014729885384440422,6.545867443084717
train,single_push_rope,rope,single_push,-0.1282898336648941,-0.08226001262664795,7.523256301879883
train,single_push_rope_4,rope,single_push,-0.8090154528617859,-0.016533443704247475,8.18995189666748
train,weird_package,package,other,0.06459809094667435,-0.07745245844125748,7.338723659515381
val,double_lift_sloth,sloth,double_lift,0.2214360237121582,0.013039152137935162,7.203648090362549
val,single_lift_cloth_3,cloth,single_lift,-0.1622931957244873,-0.029221218079328537,7.564794540405273
val,single_push_rope_1,rope,single_push,-0.5587185025215149,0.011478598229587078,7.953056335449219
test,double_stretch_zebra,zebra,double_stretch,0.5718063116073608,0.05136818811297417,6.8761115074157715
test,single_lift_cloth_4,cloth,single_lift,-0.3612385392189026,0.019185375422239304,7.765266418457031
test,single_push_sloth,sloth,single_push,0.5204164385795593,-0.0020425617694854736,6.913854122161865
